"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"nndescent","NNDescent(n_neighbors=22, pruning_mult=1.50, pruning_prob=0.403, epsilon=0.000, leaf_size=51)","10","0.299656121045392","0.351513067400275","0.914030261348005","0.0963847957026691","14823.9964413759","0.0674581897328608","0.0674581897328608","0.0674581897328608","0.0674581897328608","0","0.534777641296387","10","60732","4.09687092412465","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=64, pruning_mult=2.50, pruning_prob=1.000, epsilon=0.000, leaf_size=59)","10","0.44828060522696","0.522971114167813","0.988995873452545","0.093250811142184","14319.1312890348","0.0698366420692764","0.0698366420692764","0.0698366420692764","0.0698366420692764","0","2.15498924255371","10","208732","14.5771412934695","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=80, pruning_mult=2.50, pruning_prob=1.000, epsilon=0.000, leaf_size=55)","10","0.47757909215956","0.558321870701513","0.9939477303989","0.0927940662064143","14088.2741274119","0.0709810119587928","0.0709810119587928","0.0709810119587928","0.0709810119587928","0","2.72749710083008","10","237484","16.8568554141009","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=51, pruning_mult=1.59, pruning_prob=0.506, epsilon=0.002, leaf_size=49)","10","0.500618982118294","0.585694635488308","0.996492434662999","0.0925832118831396","13982.0070110435","0.0715204878360964","0.0715204878360964","0.0715204878360964","0.0715204878360964","0","1.52734851837158","10","136284","9.74709853115924","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=41, pruning_mult=1.76, pruning_prob=0.109, epsilon=0.028, leaf_size=54)","10","0.630811554332875","0.733012379642366","0.999931224209078","0.0910856665900589","12073.0219505238","0.0828293050290085","0.0828293050290085","0.0828293050290085","0.0828293050290085","0","1.12215209007263","10","112952","9.3557354954614","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=75, pruning_mult=1.50, pruning_prob=0.000, epsilon=0.000, leaf_size=64)","10","0.631499312242091","0.730742778541953","0.998830811554333","0.0912974044892571","11540.6500213839","0.0866502305143513","0.0866502305143513","0.0866502305143513","0.0866502305143513","0","2.53120923042297","10","210452","18.2357145923366","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=41, pruning_mult=1.84, pruning_prob=0.636, epsilon=0.059, leaf_size=38)","10","0.697524071526822","0.809284731774415","1","0.0904662028260298","11023.217674693","0.0907176145119593","0.0907176145119593","0.0907176145119593","0.0907176145119593","0","1.03478980064392","10","111120","10.0805412066849","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=74, pruning_mult=2.33, pruning_prob=0.452, epsilon=0.062, leaf_size=56)","10","0.851513067400275","0.94312242090784","1","0.0895569879373146","8532.34336337167","0.117201096145436","0.117201096145436","0.117201096145436","0.117201096145436","0","2.489013671875","10","229104","26.8512400688791","kg-fb15k-237-distmult-angular"
"nndescent","NNDescent(n_neighbors=20, pruning_mult=1.73, pruning_prob=0.994, epsilon=0.164, leaf_size=54)","10","0.901169188445667","0.974002751031637","1","0.089373763576606","5286.39550633853","0.189164813491516","0.189164813491516","0.189164813491516","0.189164813491516","0","0.518217325210571","10","96868","18.3240167868357","kg-fb15k-237-distmult-angular"
"pynndescent","PyNNDescent(n_neighbors=53, pruning_mult=2.09, diversify_prob=0.002, epsilon=0.142, leaf_size=52)","10","0.908940852819807","0.974621733149931","1","0.0893379471581284","3834.27265411239","0.260805652942508","0.260805652942508","0.260805652942508","0.260805652942508","0","26.0720212459564","10","276452","72.1002455846471","kg-fb15k-237-distmult-angular"
