"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"opensearchknn","OpenSearch(index_options: {'M': 9, 'efConstruction': 500}, ef_search: 10)","10","0.269532324621733","0.313480055020633","0.876960110041265","0.0971439015944923","648.092292915812","1.54299009591341","1.54299009591341","1.54299009591341","1.54299009591341","0","9.6820240020752","10","1180","1.82072833282911","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 4, 'efConstruction': 500}, ef_search: 262)","10","0.656946354883081","0.765199449793673","1","0.0910362835447351","593.727816540649","1.68427347671241","1.68427347671241","1.68427347671241","1.68427347671241","0","8.20381879806519","10","1120","1.88638626791258","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 28, 'efConstruction': 500}, ef_search: 100)","10","0.941265474552957","0.987276478679505","1","0.0891967260759772","576.941336918173","1.73327850643545","1.73327850643545","1.73327850643545","1.73327850643545","0","13.3108546733856","10","1120","1.94127189080031","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 19, 'efConstruction': 500}, ef_search: 167)","10","0.949724896836314","0.990027510316369","1","0.0891745519370588","574.836065080836","1.73962640110403","1.73962640110403","1.73962640110403","1.73962640110403","0","12.067391872406","10","1120","1.94838157874193","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 40, 'efConstruction': 500}, ef_search: 101)","10","0.972489683631362","0.996905089408528","1","0.0890875432732508","562.912082871933","1.77647639065981","1.77647639065981","1.77647639065981","1.77647639065981","0","14.9821906089783","10","1120","1.98965350732187","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 24, 'efConstruction': 500}, ef_search: 171)","10","0.973865199449794","0.99656121045392","1","0.0890880742012125","561.14394594777","1.78207398857921","1.78207398857921","1.78207398857921","1.78207398857921","0","12.8763380050659","10","1120","1.99592280748628","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 31, 'efConstruction': 500}, ef_search: 170)","10","0.985969738651995","0.998349381017882","1","0.089053399578125","545.617800266262","1.83278473559767","1.83278473559767","1.83278473559767","1.83278473559767","0","13.4257838726044","10","1120","2.05271895354851","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 36, 'efConstruction': 500}, ef_search: 182)","10","0.991334250343879","0.998968363136176","1","0.0890351482437133","502.414524988813","1.99038838036358","1.99038838036358","1.99038838036358","1.99038838036358","0","14.3552367687225","10","1120","2.22923491319233","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 34, 'efConstruction': 500}, ef_search: 371)","10","0.999656121045392","1","1","0.0890082652305294","501.390299850826","1.99445430189371","1.99445430189371","1.99445430189371","1.99445430189371","0","14.0843737125397","10","1120","2.23378872773012","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 40, 'efConstruction': 500}, ef_search: 405)","10","0.999793672627235","1","1","0.0890072147759726","483.556243447125","2.06801178865135","2.06801178865135","2.06801178865135","2.06801178865135","0","14.6029860973358","10","1120","2.31617317567004","kg-fb15k-237-distmult-angular"
"opensearchknn","OpenSearch(index_options: {'M': 48, 'efConstruction': 500}, ef_search: 458)","10","1","1","1","0.0890068405593433","480.845214029296","2.0796712487936","2.0796712487936","2.0796712487936","2.0796712487936","0","15.5797352790833","10","1180","2.45401215520491","kg-fb15k-237-distmult-angular"
