"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"opensearchknn","OpenSearch(index_options: {'M': 6, 'efConstruction': 500}, ef_search: 10)","10","0.170151306740028","0.201375515818432","0.703507565337001","0.100388500218989","618.680370486837","1.61634350661188","1.61634350661188","1.61634350661188","1.61634350661188","0","8.9925479888916","10","1120","1.81030472830207","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 48, 'efConstruction': 500}, ef_search: 10)","10","0.615199449793673","0.723246217331499","1","0.091184319093706","616.610219572626","1.62177009042352","1.62177009042352","1.62177009042352","1.62177009042352","0","16.3582830429077","10","1120","1.81638248029083","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 17, 'efConstruction': 500}, ef_search: 96)","10","0.859559834938102","0.947042640990371","1","0.0896918718658647","593.814475904898","1.68402760755271","1.68402760755271","1.68402760755271","1.68402760755271","0","11.7142598628998","10","1180","1.98715263416546","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 48, 'efConstruction': 500}, ef_search: 44)","10","0.897455295735901","0.970357634112792","1","0.0895120086368912","579.586435484098","1.72536820173264","1.72536820173264","1.72536820173264","1.72536820173264","0","15.8917894363403","10","1180","2.03593446595141","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 35, 'efConstruction': 500}, ef_search: 111)","10","0.971320495185695","0.995598349381018","1","0.0892703700119998","562.043380017604","1.7792220460251","1.7792220460251","1.7792220460251","1.7792220460251","0","14.4918582439423","10","1120","1.99272874624895","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 32, 'efConstruction': 500}, ef_search: 142)","10","0.980055020632737","0.997317744154058","1","0.0892429476077021","554.239418361604","1.80427439045161","1.80427439045161","1.80427439045161","1.80427439045161","0","13.8520991802216","10","1120","2.02078734008283","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 32, 'efConstruction': 500}, ef_search: 143)","10","0.980467675378267","0.997386519944979","1","0.0892416328391898","540.866065692334","1.84888660442084","1.84888660442084","1.84888660442084","1.84888660442084","0","13.9033982753754","10","1120","2.07075294798971","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 26, 'efConstruction': 500}, ef_search: 269)","10","0.993397524071527","0.999656121045392","1","0.0891976472361836","529.449954994491","1.88875268213451","1.88875268213451","1.88875268213451","1.88875268213451","0","13.0005764961243","10","1120","2.11540295628442","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 48, 'efConstruction': 500}, ef_search: 242)","10","0.998555708390647","0.999862448418157","1","0.089184156721222","515.68695167466","1.93916098214686","1.93916098214686","1.93916098214686","1.93916098214686","0","15.8439819812775","10","1120","2.17186026592853","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 48, 'efConstruction': 500}, ef_search: 301)","10","0.99958734525447","0.999862448418157","1","0.0891811080139569","505.562708325874","1.97799410670996","1.97799410670996","1.97799410670996","1.97799410670996","0","16.0239686965942","10","1120","2.21535327182019","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 48, 'efConstruction': 500}, ef_search: 351)","10","0.999862448418157","0.999931224209078","1","0.0891804360302337","496.673839728213","2.01339367777109","2.01339367777109","2.01339367777109","2.01339367777109","0","16.3041865825653","10","1120","2.25500098940762","kg-fb15k-237-keci-angular"
"opensearchknn","OpenSearch(index_options: {'M': 33, 'efConstruction': 500}, ef_search: 569)","10","1","1","1","0.0891801025350926","469.060122431358","2.13192286901176","2.13192286901176","2.13192286901176","2.13192286901176","0","13.9617812633514","10","1120","2.3877536086302","kg-fb15k-237-keci-angular"
