"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"NGT-panng","PANNG-NGT(20, 40, 60, 0.600)","10","0.00275103163686382","0.0030949105914718","0.0110041265474553","0.133221619655015","75571.1720839163","0.0132325594677241","0.0132325594677241","0.0132325594677241","0.0132325594677241","0","0.634708166122437","10","16276","0.215373131727091","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 0.700)","10","0.018363136176066","0.0204951856946355","0.0411279229711142","0.131180880907514","71931.7545705465","0.0139020658025402","0.0139020658025402","0.0139020658025402","0.0139020658025402","0","0.604684829711914","10","16276","0.226270026321094","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 0.769)","10","0.0513067400275103","0.0577028885832187","0.159834938101788","0.122169784253505","64115.2885468561","0.0155969046318205","0.0155969046318205","0.0155969046318205","0.0155969046318205","0","0.620261430740356","10","16328","0.254666248410741","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 0.777)","10","0.0546079779917469","0.0608665749656121","0.174277854195323","0.120803436386334","59061.5456191814","0.0169314898812445","0.0169314898812445","0.0169314898812445","0.0169314898812445","0","0.653164148330689","10","16380","0.277337814787567","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 0.881)","10","0.150962861072902","0.171939477303989","0.47283356258597","0.104885755798722","52116.067750262","0.0191879407793749","0.0191879407793749","0.0191879407793749","0.0191879407793749","0","0.633782386779785","10","16340","0.313530945548321","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 0.938)","10","0.245323246217331","0.281292984869326","0.719738651994498","0.0993730815859226","42921.919540553","0.0232981201406801","0.0232981201406801","0.0232981201406801","0.0232981201406801","0","0.620949506759644","10","16396","0.381995963263221","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 0.990)","10","0.410385144429161","0.476822558459422","0.931843191196699","0.0948706825436093","33324.6887537359","0.030007782697794","0.030007782697794","0.030007782697794","0.030007782697794","0","0.629558801651001","10","16388","0.491767533707657","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 1.013)","10","0.536795048143054","0.619050894085282","0.982806052269601","0.0927237032847959","27190.8100193498","0.0367771317542065","0.0367771317542065","0.0367771317542065","0.0367771317542065","0","0.631206035614014","10","16256","0.597849052250807","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 1.015)","10","0.54656121045392","0.630123796423659","0.985488308115543","0.0925791582064442","26433.6960513203","0.0378305012418423","0.0378305012418423","0.0378305012418423","0.0378305012418423","0","0.618636846542358","10","16384","0.61981495013754","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 1.019)","10","0.565337001375516","0.650962861072902","0.988514442916094","0.0923123108997679","24910.2116493751","0.0401441793655977","0.0401441793655977","0.0401441793655977","0.0401441793655977","0","0.627985000610352","10","16500","0.662378956559927","kg-fb15k-237-omult-angular"
"NGT-panng","PANNG-NGT(20, 40, 60, 1.030)","10","0.621320495185695","0.714855570839065","0.996354883081155","0.0916099395217814","22148.8035504806","0.0451491650892422","0.0451491650892422","0.0451491650892422","0.0451491650892422","0","0.689651727676392","10","16412","0.740988106314388","kg-fb15k-237-omult-angular"
