"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=521, n_probe=9, k_reorder=23)","10","0.557634112792297","0.642778541953232","0.999793672627235","0.0917745339224316","147638.850945362","0.00677328489473439","0.00677328489473439","0.00677328489473439","0.00677328489473439","799.480055020633","0.477169513702393","10","15592","0.10560905818598","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1849, n_probe=32, k_reorder=55)","10","0.694910591471802","0.797936726272352","1","0.0904743859417526","86522.2106263761","0.0115577258839039","0.0115577258839039","0.0115577258839039","0.0115577258839039","2177.86932599725","0.828615427017212","10","20956","0.242203705248506","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1856, n_probe=43, k_reorder=64)","10","0.743810178817056","0.849518569463549","1","0.0901953301608959","69687.7915714417","0.014349715456774","0.014349715456774","0.014349715456774","0.014349715456774","2296.88308115543","0.852339506149292","10","20964","0.300827440894125","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1853, n_probe=50, k_reorder=73)","10","0.771182943603851","0.875378266850069","1","0.0900654605804362","58860.3225171297","0.0169893737620441","0.0169893737620441","0.0169893737620441","0.0169893737620441","2367.32324621733","0.813920021057129","10","21128","0.358951482025116","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2706, n_probe=63, k_reorder=437)","10","0.80474552957359","0.902819807427786","1","0.0898901977987405","38229.7099227066","0.0261576660705032","0.0261576660705032","0.0261576660705032","0.0261576660705032","3170.73177441541","1.01010751724243","10","21076","0.551298977748242","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1920, n_probe=111, k_reorder=152)","10","0.882874828060523","0.958528198074278","1","0.0895493102997458","29627.8998236462","0.0337519704771694","0.0337519704771694","0.0337519704771694","0.0337519704771694","3020.12929848693","0.873353481292725","10","20956","0.707306293214711","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=4034, n_probe=130, k_reorder=902)","10","0.907152682255846","0.971320495185695","1","0.0894332527019109","22306.2923273305","0.0448303981102072","0.0448303981102072","0.0448303981102072","0.0448303981102072","4707.67537826685","1.27798223495483","10","20964","0.939824498503237","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3084, n_probe=200, k_reorder=202)","10","0.937276478679505","0.985006877579092","1","0.0893324954648889","21522.9151791075","0.0464621080027428","0.0464621080027428","0.0464621080027428","0.0464621080027428","4383.2386519945","1.11321783065796","10","20656","0.959721293705183","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2465, n_probe=191, k_reorder=635)","10","0.940715268225584","0.985832187070151","1","0.0893243519191796","17410.508270574","0.0574365767533891","0.0574365767533891","0.0574365767533891","0.0574365767533891","3972.4779917469","0.968464374542236","10","23084","1.32586594493711","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2275, n_probe=200, k_reorder=659)","10","0.943397524071527","0.986795048143054","1","0.0893158198129631","16160.4941967077","0.0618792983004823","0.0618792983004823","0.0618792983004823","0.0618792983004823","3957.85488308116","0.896772384643555","10","23064","1.42718407737176","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1311, n_probe=189, k_reorder=881)","10","0.952613480055021","0.990371389270977","1","0.0892950320695865","12300.3094299742","0.081298770965077","0.081298770965077","0.081298770965077","0.081298770965077","3859.07840440165","0.716529130935669","10","21076","1.71345282978334","kg-fb15k-237-omult-angular"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=512, n_probe=200, k_reorder=473)","10","0.988033012379642","0.998074277854195","1","0.0891588153982961","8567.96966482653","0.116713767056353","0.116713767056353","0.116713767056353","0.116713767056353","6489.47180192572","0.426310777664185","10","16568","1.93371366241123","kg-fb15k-237-omult-angular"
