"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"luceneknn","luceneknn-512-4-500-10","10","0.211072902338377","0.283081155433287","0.877647867950481","0.100704582161784","5281.4008085105","0.189343700185418","0.189343700185418","0.189343700185418","0.189343700185418","0","6.81398963928223","10","396188","75.0157040460893","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-29-500-33","10","0.872558459422283","0.973521320495185","0.999793672627235","0.091873887567656","2261.14068380157","0.442254648078233","0.442254648078233","0.442254648078233","0.442254648078233","0","15.8153238296509","10","325540","143.971581393459","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-95-500-58","10","0.953645116918845","0.997730398899587","1","0.0915074575376501","1408.5036591886","0.709973333869129","0.709973333869129","0.709973333869129","0.709973333869129","0","16.9214723110199","10","413112","293.298492556264","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-50-500-73","10","0.962517193947731","0.99828060522696","1","0.0914757655204823","1345.70788438843","0.743103330023587","0.743103330023587","0.743103330023587","0.743103330023587","0","16.6012802124023","10","323184","240.159104178002","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-49-500-82","10","0.967606602475928","0.998624484181568","1","0.0914611690064378","1262.44310970167","0.792114879004657","0.792114879004657","0.792114879004657","0.792114879004657","0","16.5980081558228","10","305532","242.016450208358","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-96-500-82","10","0.971458046767538","0.999037138927097","1","0.0914536334825297","1106.67009079801","0.903611653484404","0.903611653484404","0.903611653484404","0.903611653484404","0","17.1939902305603","10","318736","288.013566690108","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-59-500-94","10","0.975722145804677","0.999174690508941","1","0.0914429171394622","1077.60633673414","0.927982677239925","0.927982677239925","0.927982677239925","0.927982677239925","0","16.8227915763855","10","354752","329.203706313692","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-86-500-106","10","0.980674002751032","0.999449793672627","1","0.0914332848167112","969.822911193537","1.03111611679196","1.03111611679196","1.03111611679196","1.03111611679196","0","17.0176780223846","10","342764","353.429472580895","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-58-500-117","10","0.98232462173315","0.999656121045392","1","0.0914304003449918","886.258824014945","1.12833851017058","1.12833851017058","1.12833851017058","1.12833851017058","0","16.9901804924011","10","332740","375.443370473442","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-42-500-147","10","0.984387895460798","0.999724896836314","1","0.0914245442884318","856.417716595021","1.16765452548862","1.16765452548862","1.16765452548862","1.16765452548862","0","16.7786960601807","10","337596","394.195488321081","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-35-500-193","10","0.989270976616231","0.999724896836314","1","0.0914206411091133","800.13450984314","1.24978984240443","1.24978984240443","1.24978984240443","1.24978984240443","0","16.2676217556","10","343972","429.892718997251","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-86-500-147","10","0.989546079779917","0.999793672627235","1","0.0914168093883943","748.171045982596","1.33659271523356","1.33659271523356","1.33659271523356","1.33659271523356","0","17.5896534919739","10","325036","434.440762904852","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-72-500-149","10","0.989614855570839","0.999724896836314","1","0.0914165473101092","725.97982476062","1.37744878884405","1.37744878884405","1.37744878884405","1.37744878884405","0","16.9525334835053","10","340900","469.572277869301","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-72-500-184","10","0.993466299862448","0.999862448418157","1","0.091408532332184","670.886949419991","1.49056408554316","1.49056408554316","1.49056408554316","1.49056408554316","0","17.412266254425","10","326548","486.740724770863","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-95-500-191","10","0.994635488308116","0.999862448418157","1","0.0914064647008387","668.04580621612","1.49690336547792","1.49690336547792","1.49690336547792","1.49690336547792","0","17.0283925533295","10","344016","514.958700135462","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-95-500-195","10","0.994979367262724","0.999862448418157","1","0.0914059908219197","667.99004825374","1.49702827911824","1.49702827911824","1.49702827911824","1.49702827911824","0","17.0928483009338","10","322164","482.288622176635","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-95-500-224","10","0.996629986244842","0.999862448418157","1","0.0914031209383738","580.448873679342","1.72280461993068","1.72280461993068","1.72280461993068","1.72280461993068","0","17.2167098522186","10","329384","567.464276245563","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-85-500-279","10","0.998349381017882","0.999862448418157","1","0.0913994703596735","550.200792337329","1.81751826312393","1.81751826312393","1.81751826312393","1.81751826312393","0","16.8644599914551","10","308076","559.933762892726","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-96-500-293","10","0.998899587345255","0.999931224209078","1","0.0913984861026413","548.518789220179","1.82309164665639","1.82309164665639","1.82309164665639","1.82309164665639","0","17.4496150016785","10","314100","572.633073238113","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-55-500-390","10","0.999381017881706","1","1","0.0913975525347556","438.483944783605","2.28058523498476","2.28058523498476","2.28058523498476","2.28058523498476","0","17.2742321491241","10","337464","769.61540784929","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-57-500-546","10","0.999862448418157","1","1","0.0913964052016775","376.329143648688","2.65724840573966","2.65724840573966","2.65724840573966","2.65724840573966","0","16.9024319648743","10","308500","819.761119239789","kg-fb15k-237-pykeen-quate-angular"
"luceneknn","luceneknn-512-56-500-727","10","1","1","1","0.0913956128828859","336.157597227452","2.97479517757893","2.97479517757893","2.97479517757893","2.97479517757893","0","16.6889674663544","10","336340","1000.54261088862","kg-fb15k-237-pykeen-quate-angular"
