"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"mrpt","MRPT(target recall=0.105, trees=16, depth=9, vote threshold=1, estimated recall=0.106)","10","0.109628610729023","0.142572214580468","0.963136176066025","0.0997050806785252","6840.33143963406","0.146191741805524","0.146191741805524","0.146191741805524","0.146191741805524","0","1.33154511451721","10","35268","5.15589051659853","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.390, trees=110, depth=8, vote threshold=2, estimated recall=0.394)","10","0.321595598349381","0.43363136176066","0.998762035763411","0.0942746655493745","4889.21083071051","0.204531985218637","0.204531985218637","0.204531985218637","0.204531985218637","0","1.32650208473206","10","35256","7.21097968992197","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.418, trees=114, depth=8, vote threshold=2, estimated recall=0.419)","10","0.3439477303989","0.455777166437414","0.999312242090784","0.0940578872775405","4115.59813902763","0.242978043388575","0.242978043388575","0.242978043388575","0.242978043388575","0","1.33026266098022","10","35268","8.56934977823967","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.390, trees=73, depth=9, vote threshold=1, estimated recall=0.390)","10","0.359147180192572","0.490921595598349","0.998830811554333","0.0941779033802271","4040.18510929368","0.24751340970397","0.24751340970397","0.24751340970397","0.24751340970397","0","1.33583664894104","10","35256","8.72633284027018","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.418, trees=79, depth=9, vote threshold=1, estimated recall=0.422)","10","0.38404401650619","0.53019257221458","0.999381017881706","0.0939003753875825","3996.03052922931","0.25024832575582","0.25024832575582","0.25024832575582","0.25024832575582","0","1.32716846466064","10","35268","8.82575839749701","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.418, trees=45, depth=8, vote threshold=1, estimated recall=0.424)","10","0.393466299862448","0.549449793672627","0.999381017881706","0.0939235432478005","3828.3394942727","0.261209846939892","0.261209846939892","0.261209846939892","0.261209846939892","0","1.32836031913757","10","35268","9.2123491275426","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.418, trees=81, depth=9, vote threshold=1, estimated recall=0.422)","10","0.39353507565337","0.542984869325997","0.999312242090784","0.0938748227879756","3721.70845716604","0.268693809630349","0.268693809630349","0.268693809630349","0.268693809630349","0","1.30932188034058","10","35268","9.47629305355515","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.470, trees=52, depth=8, vote threshold=1, estimated recall=0.470)","10","0.434181568088033","0.605570839064649","0.999518569463549","0.0936147530603575","3321.06492462616","0.301108229905367","0.301108229905367","0.301108229905367","0.301108229905367","0","1.30401706695557","10","35268","10.6194852556127","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.508, trees=103, depth=9, vote threshold=1, estimated recall=0.508)","10","0.452338376891334","0.627097661623109","0.999724896836314","0.0933240544867908","3256.86458404547","0.307043781504035","0.307043781504035","0.307043781504035","0.307043781504035","0","1.27060723304749","10","35268","10.8288198940689","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.696, trees=105, depth=8, vote threshold=1, estimated recall=0.699)","10","0.659078404401651","0.870770288858322","1","0.0923051118132553","2690.78342268764","0.371638976503164","0.371638976503164","0.371638976503164","0.371638976503164","0","1.33340835571289","10","35268","13.1069634600221","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.702, trees=106, depth=8, vote threshold=1, estimated recall=0.704)","10","0.660866574965612","0.867537826685007","1","0.0923297227566595","2670.59296140879","0.374448689399287","0.374448689399287","0.374448689399287","0.374448689399287","0","1.33189702033997","10","35268","13.2060559245223","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.698, trees=108, depth=8, vote threshold=1, estimated recall=0.700)","10","0.674346629986245","0.879367262723521","1","0.0922793818503073","2510.99879525123","0.398247910197824","0.398247910197824","0.398247910197824","0.398247910197824","0","1.30176496505737","10","35256","14.0406280029587","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.850, trees=99, depth=7, vote threshold=1, estimated recall=0.852)","10","0.839477303988996","0.972283356258597","1","0.0917866897979803","2120.42785194699","0.471602921606973","0.471602921606973","0.471602921606973","0.471602921606973","0","1.33385634422302","10","35268","16.6324923376274","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.886, trees=112, depth=7, vote threshold=1, estimated recall=0.886)","10","0.873108665749656","0.982599724896836","1","0.0917167293911282","2018.25408911592","0.495477754157037","0.495477754157037","0.495477754157037","0.495477754157037","0","1.31142854690552","10","35268","17.4745093743122","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.900, trees=67, depth=6, vote threshold=1, estimated recall=0.903)","10","0.895942228335626","0.988445667125172","1","0.0916637599720077","1708.34778760022","0.585360918194056","0.585360918194056","0.585360918194056","0.585360918194056","0","1.25959396362305","10","35268","20.6445082529373","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.900, trees=69, depth=6, vote threshold=1, estimated recall=0.902)","10","0.898899587345255","0.988995873452545","1","0.0916501422195416","1671.97708231611","0.598094309680164","0.598094309680164","0.598094309680164","0.598094309680164","0","1.27342987060547","10","35268","21.0935905599525","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.928, trees=77, depth=6, vote threshold=1, estimated recall=0.929)","10","0.923108665749656","0.993053645116919","1","0.0915944944436205","1608.0723797872","0.621862534899265","0.621862534899265","0.621862534899265","0.621862534899265","0","1.29619193077087","10","35268","21.9318486178259","kg-fb15k-237-pykeen-quate-angular"
"mrpt","MRPT(target recall=0.927, trees=78, depth=6, vote threshold=1, estimated recall=0.928)","10","0.929779917469051","0.99484181568088","1","0.091567854217582","1575.80087992401","0.634597963653505","0.634597963653505","0.634597963653505","0.634597963653505","0","1.31407332420349","10","35536","22.5510725706117","kg-fb15k-237-pykeen-quate-angular"
