"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"tinyknn","TinyKNN(metric=euclidean, build_probes=1, skew_factor=4, query_probes=1)","10","0.112998624484182","0.165680880330124","0.842503438789546","inf","5858.50108504666","0.170692132087424","0.170692132087424","0.170692132087424","0.170692132087424","0","8.84981608390808","9.63961485557084","62692","10.7010307056213","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=3, skew_factor=3, query_probes=11)","10","0.523796423658872","0.828198074277854","1","0.0970037179724956","3575.03178213508","0.279717787634581","0.279717787634581","0.279717787634581","0.279717787634581","0","8.60193061828613","10","90656","25.3580962421146","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=3, skew_factor=4, query_probes=22)","10","0.676685006877579","0.967469050894085","1","0.0965331665238074","2396.43246233929","0.417286966694519","0.417286966694519","0.417286966694519","0.417286966694519","0","9.38615345954895","10","93284","38.9261961127585","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=3, skew_factor=3, query_probes=34)","10","0.758390646492435","0.990990371389271","1","0.0963887178948201","1703.8240913338","0.586915062740445","0.586915062740445","0.586915062740445","0.586915062740445","0","8.61989831924439","10","89640","52.611064989595","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=1, skew_factor=5, query_probes=71)","10","0.893741403026135","0.999862448418157","1","0.0962237561917584","936.310071939922","1.06802221853286","1.06802221853286","1.06802221853286","1.06802221853286","0","9.06489610671997","10","61868","66.0764012415427","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=3, skew_factor=1, query_probes=80)","10","0.91898211829436","0.999931224209078","1","0.0961806373770041","596.433829732516","1.67663197498769","1.67663197498769","1.67663197498769","1.67663197498769","0","7.84467363357544","10","54488","91.3563203221326","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=2, skew_factor=1, query_probes=110)","10","0.93191196698762","0.999724896836314","1","0.0961755391106923","459.452505099285","2.17650341801345","2.17650341801345","2.17650341801345","2.17650341801345","0","7.87348508834839","10","72232","157.213203102225","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=3, skew_factor=3, query_probes=104)","10","0.935488308115543","0.999931224209078","1","0.0961640440314225","428.971474975911","2.33115744777024","2.33115744777024","2.33115744777024","2.33115744777024","0","8.97030544281006","10","90328","210.568779672523","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=2, skew_factor=4, query_probes=126)","10","0.940852819807428","1","1","0.0961641017989971","390.266463567856","2.56235175766051","2.56235175766051","2.56235175766051","2.56235175766051","0","9.05826759338379","10","76436","195.855927002321","kg-fb15k-237-distmult-euclidean"
"tinyknn","TinyKNN(metric=euclidean, build_probes=2, skew_factor=3, query_probes=126)","10","0.945116918844567","0.99958734525447","1","0.0961602519791349","371.552420813607","2.69141024909914","2.69141024909914","2.69141024909914","2.69141024909914","0","8.76325082778931","10","76012","204.579477193427","kg-fb15k-237-distmult-euclidean"
