"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"voyager","voyager ({'M': 7, 'efConstruction': 500})","10","0.201581843191197","0.448074277854195","1","0.0995711797333696","31240.4873470883","0.0320097424264532","0.0320097424264532","0.0320097424264532","0.0320097424264532","0","0.97652792930603","10","9892","0.316640386883144","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 88, 'efConstruction': 500})","10","0.379229711141678","0.725378266850069","1","0.0985377477524766","19498.5980490267","0.0512857368448749","0.0512857368448749","0.0512857368448749","0.0512857368448749","0","1.85921478271484","10","19108","0.979967890612205","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 72, 'efConstruction': 500})","10","0.487620357634113","0.847317744154058","1","0.0981083989452393","18328.7841336347","0.0545589937246405","0.0545589937246405","0.0545589937246405","0.0545589937246405","0","1.67744779586792","10","17216","0.939287618560978","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.734112792297111","0.9853507565337","1","0.0971970466422668","6435.90760012096","0.155378234921955","0.155378234921955","0.155378234921955","0.155378234921955","0","1.95324921607971","10","19904","3.09264850222926","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 92, 'efConstruction': 500})","10","0.806189821182944","0.994773039889959","1","0.0969271966186473","4397.95915105983","0.227378186536953","0.227378186536953","0.227378186536953","0.227378186536953","0","1.89959096908569","10","19560","4.44751743437325","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 67, 'efConstruction': 500})","10","0.815749656121045","0.996423658872077","1","0.0968813178693521","4070.84865512527","0.245649018324912","0.245649018324912","0.245649018324912","0.245649018324912","0","1.62210869789124","10","16784","4.1229732230081","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 36, 'efConstruction': 500})","10","0.831155433287483","0.998143053645117","1","0.0968420927839356","3017.02809684138","0.331451999954879","0.331451999954879","0.331451999954879","0.331451999954879","0","1.3377799987793","10","13016","4.31417924600267","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 46, 'efConstruction': 500})","10","0.867331499312242","0.999518569463549","1","0.0966975488528108","2307.0874364073","0.433446955867112","0.433446955867112","0.433446955867112","0.433446955867112","0","1.42185711860657","10","14392","6.2381684252123","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 47, 'efConstruction': 500})","10","0.868225584594223","0.999518569463549","1","0.0966918250489557","2272.36645708625","0.440069852629676","0.440069852629676","0.440069852629676","0.440069852629676","0","1.43320608139038","10","14384","6.32996493815701","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.913136176066025","1","1","0.0965336024810578","2048.69143005526","0.488116464111954","0.488116464111954","0.488116464111954","0.488116464111954","0","1.93662071228027","10","19968","9.74670939071651","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.91808803301238","1","1","0.0965120410085461","1939.92593916828","0.515483610797673","0.515483610797673","0.515483610797673","0.515483610797673","0","1.9239330291748","10","20076","10.3488486826499","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.92242090784044","1","1","0.0964981465769144","1892.05117970139","0.528526958078146","0.528526958078146","0.528526958078146","0.528526958078146","0","1.9439742565155","10","20024","10.5832232313929","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.925378266850069","1","1","0.0964827819630054","1791.67667242988","0.558136438485235","0.558136438485235","0.558136438485235","0.558136438485235","0","1.93686509132385","10","20076","11.2051467259284","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.930811554332875","1","1","0.0964606574158575","1713.38306423402","0.583640648983419","0.583640648983419","0.583640648983419","0.583640648983419","0","1.93106365203857","10","20020","11.6844857509725","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.932118294360385","1","1","0.0964588755246924","1668.78773225046","0.599237391725183","0.599237391725183","0.599237391725183","0.599237391725183","0","1.92931747436523","10","20012","11.991938587068","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 95, 'efConstruction': 500})","10","0.932530949105915","1","1","0.0964581650684398","1666.4274851379","0.600086117628962","0.600086117628962","0.600086117628962","0.600086117628962","0","1.93730521202087","10","19920","11.9537154647636","kg-fb15k-237-distmult-euclidean"
"voyager","voyager ({'M': 96, 'efConstruction': 500})","10","0.934662998624484","1","1","0.0964471856578063","1638.05102345319","0.610481598414481","0.610481598414481","0.610481598414481","0.610481598414481","0","1.93603301048279","10","20036","12.2316092192061","kg-fb15k-237-distmult-euclidean"
