"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"weaviate","Weaviate(ef=112, maxConnections=22, efConstruction=198)","10","0.660522696011004","0.95474552957359","1","0.0971560667231158","3310.80966035861","0.302040920360014","0.302040920360014","0.302040920360014","0.302040920360014","0","6.3771333694458","10","2100","0.634285934689626","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=74, maxConnections=53, efConstruction=243)","10","0.67888583218707","0.959972489683631","1","0.0970492518135479","3283.79769044468","0.304525456158444","0.304525456158444","0.304525456158444","0.304525456158444","0","7.51957106590271","10","2324","0.707717167462071","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=281, maxConnections=14, efConstruction=138)","10","0.714786795048143","0.978541953232462","1","0.0969810087777076","2466.50422178043","0.405432103434578","0.405432103434578","0.405432103434578","0.405432103434578","0","5.05730628967285","10","2328","0.943845941735118","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=217, maxConnections=62, efConstruction=147)","10","0.795392022008253","0.991265474552957","1","0.0965850715518381","2405.04962941407","0.415791844716296","0.415791844716296","0.415791844716296","0.415791844716296","0","6.19498729705811","10","2324","0.966300225815377","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=186, maxConnections=62, efConstruction=400)","10","0.865337001375516","0.998005502063274","1","0.0963917043554282","2271.10725731788","0.440313859144226","0.440313859144226","0.440313859144226","0.440313859144226","0","9.36485314369202","10","4372","1.92505219025332","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=217, maxConnections=37, efConstruction=479)","10","0.88707015130674","0.998830811554333","1","0.0963566694865496","2108.33604118682","0.474307686090469","0.474307686090469","0.474307686090469","0.474307686090469","0","9.75168108940125","10","4428","2.10023445669856","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=282, maxConnections=54, efConstruction=398)","10","0.903370013755158","0.999243466299862","1","0.0962631331175","1947.87373561056","0.513380276970565","0.513380276970565","0.513380276970565","0.513380276970565","0","9.27582764625549","10","2376","1.21979158944574","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=358, maxConnections=72, efConstruction=375)","10","0.924484181568088","0.99958734525447","1","0.0961724816753313","1728.14002582635","0.578656792640686","0.578656792640686","0.578656792640686","0.578656792640686","0","9.39030528068543","10","4376","2.53220221428962","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=396, maxConnections=72, efConstruction=402)","10","0.936313617606603","0.999656121045392","1","0.0961429156432879","1601.79350333282","0.62430021353066","0.62430021353066","0.62430021353066","0.62430021353066","0","9.64430713653564","10","4424","2.76190407240077","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=605, maxConnections=64, efConstruction=394)","10","0.95990371389271","0.999931224209078","1","0.0960743184713977","1344.47283328547","0.743785931263119","0.743785931263119","0.743785931263119","0.743785931263119","0","9.41604042053223","10","4376","3.25480730563104","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=610, maxConnections=67, efConstruction=393)","10","0.960935350756534","0.999931224209078","1","0.0960657513762043","1259.93509468236","0.793691666331142","0.793691666331142","0.793691666331142","0.793691666331142","0","9.79308533668518","10","2376","1.88581142792837","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=657, maxConnections=72, efConstruction=64)","10","0.98878954607978","1","1","0.0959909635367191","969.40005083436","1.03156582918018","1.03156582918018","1.03156582918018","1.03156582918018","0","60.1432082653046","10","2380","2.45512675386342","kg-fb15k-237-omult-euclidean"
"weaviate","Weaviate(ef=768, maxConnections=72, efConstruction=64)","10","0.992022008253095","1","1","0.095974489588852","888.238684912503","1.12582347355783","1.12582347355783","1.12582347355783","1.12582347355783","0","60.0588369369507","10","4428","4.98514653236048","kg-fb15k-237-omult-euclidean"
