"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"pynndescent","PyNNDescent(n_neighbors=10, pruning_mult=2.50, diversify_prob=0.000, epsilon=0.000, leaf_size=32)","10","0.0912079883097906","0.108166910212697","0.520360448124695","0.104357968045722","19500.6003831782","0.0512804726895411","0.0512804726895411","0.0512804726895411","0.0512804726895411","0","31.1605141162872","10","642396","32.9423703566661","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=28, pruning_mult=2.50, pruning_prob=1.000, epsilon=0.000, leaf_size=50)","10","0.179680142880338","0.210366942685501","0.742669264490989","0.100556458322732","15273.0883369185","0.0654746399959549","0.0654746399959549","0.0654746399959549","0.0654746399959549","0","7.26371693611145","10","375040","24.5556099543695","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=13, pruning_mult=2.39, diversify_prob=0.350, epsilon=0.052, leaf_size=34)","10","0.184226335444066","0.217608377983439","0.790266276993018","0.100070989062204","15121.1560268284","0.0661325102555566","0.0661325102555566","0.0661325102555566","0.0661325102555566","0","32.0195665359497","10","687356","45.4565774455652","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=52, pruning_mult=1.80, diversify_prob=0.621, epsilon=0.004, leaf_size=42)","10","0.281571683714889","0.329672024679331","0.903799318071115","0.0974775396247683","13932.4942909986","0.0717746588634327","0.0717746588634327","0.0717746588634327","0.0717746588634327","0","48.5291368961334","10","852304","61.1738273275769","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=58, pruning_mult=1.72, pruning_prob=0.648, epsilon=0.003, leaf_size=59)","10","0.344877415164799","0.404797856794934","0.954684201980841","0.0960683195541285","12600.5576908703","0.0793615690781735","0.0793615690781735","0.0793615690781735","0.0793615690781735","0","16.2583665847778","10","488568","38.7735219333975","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=74, pruning_mult=1.78, diversify_prob=0.663, epsilon=0.027, leaf_size=43)","10","0.389405747686313","0.456275369378146","0.976725117713915","0.0952115223117348","11468.4119501331","0.0871960291988216","0.0871960291988216","0.0871960291988216","0.0871960291988216","0","59.669721364975","10","993352","86.6163514459798","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=71, pruning_mult=2.17, pruning_prob=0.306, epsilon=0.008, leaf_size=60)","10","0.462258483520052","0.541824971586297","0.987895762299075","0.0941894218307887","10954.2386750763","0.091288864496164","0.091288864496164","0.091288864496164","0.091288864496164","0","22.5073232650757","10","513088","46.8392204350456","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=67, pruning_mult=2.40, diversify_prob=0.122, epsilon=0.029, leaf_size=36)","10","0.505820750121773","0.592320181847702","0.99174378957623","0.0936686941842213","9388.35244884001","0.106514962681104","0.106514962681104","0.106514962681104","0.106514962681104","0","57.1103835105896","10","834804","88.919115952357","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=67, pruning_mult=1.50, diversify_prob=0.263, epsilon=0.061, leaf_size=35)","10","0.548490014612762","0.64400064945608","0.995981490501705","0.093101865916672","8078.70019354709","0.123782287118956","0.123782287118956","0.123782287118956","0.123782287118956","0","56.174076795578","10","801984","99.2714150527073","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=69, pruning_mult=2.15, pruning_prob=0.634, epsilon=0.055, leaf_size=59)","10","0.622373761974347","0.728852086377659","0.999106997889268","0.0922979964337519","8062.88901522882","0.124025027616881","0.124025027616881","0.124025027616881","0.124025027616881","0","21.9483711719513","10","495688","61.4777158737727","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=57, pruning_mult=2.24, pruning_prob=0.114, epsilon=0.057, leaf_size=56)","10","0.70240298749797","0.81425556096769","0.999521026140607","0.0917190450773184","6428.16087622932","0.155565488967113","0.155565488967113","0.155565488967113","0.155565488967113","0","18.3156583309174","10","516212","80.3047730041883","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=56, pruning_mult=2.24, pruning_prob=0.424, epsilon=0.083, leaf_size=62)","10","0.759457704172755","0.871034258808248","0.999845754180874","0.091333359578109","5243.67657653888","0.19070589041803","0.19070589041803","0.19070589041803","0.19070589041803","0","17.1195747852325","10","503680","96.0547418682441","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=77, pruning_mult=1.97, diversify_prob=0.366, epsilon=0.128, leaf_size=44)","10","0.768493261893164","0.877122909563241","0.99980516317584","0.0912679916412409","4234.83089852124","0.236136940657161","0.236136940657161","0.236136940657161","0.236136940657161","0","61.5603010654449","10","914912","216.044517933285","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=37, pruning_mult=1.73, pruning_prob=0.354, epsilon=0.116, leaf_size=34)","10","0.818355252476051","0.921586296476701","0.99995129079396","0.0910164349697813","4075.15709883701","0.245389324845746","0.245389324845746","0.245389324845746","0.245389324845746","0","8.77368140220642","10","430740","105.698992591703","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=69, pruning_mult=2.36, pruning_prob=0.636, epsilon=0.113, leaf_size=50)","10","0.890331222601072","0.967121285923039","1","0.0906359892771699","3423.52164268276","0.292096869088709","0.292096869088709","0.292096869088709","0.292096869088709","0","21.8847548961639","10","530524","154.964406646563","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=71, pruning_mult=2.25, pruning_prob=0.656, epsilon=0.122, leaf_size=61)","10","0.919288845591817","0.98050008118201","1","0.0905150302284831","2729.52078557588","0.366364663932472","0.366364663932472","0.366364663932472","0.366364663932472","0","21.7518708705902","10","517912","189.744662409936","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=20, pruning_mult=2.19, pruning_prob=0.524, epsilon=0.199, leaf_size=39)","10","0.943854521837961","0.988772528007794","1","0.0904609612193045","1381.55685908103","0.723821111023426","0.723821111023426","0.723821111023426","0.723821111023426","0","4.95907211303711","10","404672","292.910130582084","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=76, pruning_mult=1.90, diversify_prob=0.354, epsilon=0.221, leaf_size=51)","10","0.960066569248255","0.993278129566488","1","0.0903606568069016","1355.9517240652","0.737489375751466","0.737489375751466","0.737489375751466","0.737489375751466","0","61.2600226402283","10","1213000","894.574621258178","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=79, pruning_mult=2.11, pruning_prob=0.248, epsilon=0.146, leaf_size=59)","10","0.987116415002435","0.998416950803702","1","0.0902543469887975","1127.24292330204","0.88712020078674","0.88712020078674","0.88712020078674","0.88712020078674","0","27.8863015174866","10","536092","475.578057682208","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=55, pruning_mult=2.21, diversify_prob=0.350, epsilon=0.301, leaf_size=41)","10","0.990298749797045","0.998871570060075","1","0.0902445511557847","660.964945038858","1.51293957605958","1.51293957605958","1.51293957605958","1.51293957605958","0","50.2401833534241","10","879216","1330.20065072938","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=22, pruning_mult=2.15, pruning_prob=0.086, epsilon=0.230, leaf_size=48)","10","0.990542295827245","0.998871570060075","1","0.0902495564411166","588.107846946182","1.70036836061627","1.70036836061627","1.70036836061627","1.70036836061627","0","5.22564196586609","10","399372","679.0795295009","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=75, pruning_mult=1.50, diversify_prob=0.716, epsilon=0.320, leaf_size=44)","10","0.994025004059101","0.999326189316447","1","0.0902297607105148","578.326658971401","1.7291265539825","1.7291265539825","1.7291265539825","1.7291265539825","0","60.0366907119751","10","1024756","1771.93284124686","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=80, pruning_mult=2.50, diversify_prob=1.000, epsilon=0.320, leaf_size=37)","10","0.995705471667479","0.999529144341614","1","0.0902251579203776","528.891628508104","1.89074652735144","1.89074652735144","1.89074652735144","1.89074652735144","0","61.9333045482636","10","825032","1559.92637343731","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=70, pruning_mult=1.64, pruning_prob=0.556, epsilon=0.209, leaf_size=60)","10","0.998554960220815","0.999861990582887","1","0.0902129379116946","469.165057365","2.13144603185356","2.13144603185356","2.13144603185356","2.13144603185356","0","22.7397887706757","10","473204","1008.60878825393","kg-yago3-10-keci-angular"
"pynndescent","PyNNDescent(n_neighbors=55, pruning_mult=2.50, diversify_prob=0.000, epsilon=0.320, leaf_size=40)","10","0.998904042864101","0.999935054391947","1","0.0902118242092361","339.834585142731","2.94260820373893","2.94260820373893","2.94260820373893","2.94260820373893","0","53.9329199790955","10","933208","2746.06541181808","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=64, pruning_mult=1.59, pruning_prob=0.868, epsilon=0.263, leaf_size=33)","10","0.99973209936678","0.999943172592953","1","0.090208461700682","274.24941463658","3.64631600677967","3.64631600677967","3.64631600677967","3.64631600677967","0","20.0915882587433","10","494200","1802.00931569858","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=61, pruning_mult=1.90, pruning_prob=0.485, epsilon=0.276, leaf_size=46)","10","0.999935054391947","1","1","0.0902078011395179","199.972840740002","5.00067928805947","5.00067928805947","5.00067928805947","5.00067928805947","0","17.8343055248261","10","466260","2331.61662491066","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=28, pruning_mult=2.50, pruning_prob=0.000, epsilon=0.320, leaf_size=32)","10","0.999959408994967","1","1","0.0902078808025598","127.952679826155","7.81538896262646","7.81538896262646","7.81538896262646","7.81538896262646","0","7.10074257850647","10","415824","3249.82642462014","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=68, pruning_mult=1.81, pruning_prob=0.395, epsilon=0.320, leaf_size=40)","10","0.999983763597987","1","1","0.0902076676577654","114.984155537644","8.69685038924217","8.69685038924217","8.69685038924217","8.69685038924217","0","21.6129825115204","10","507764","4415.94755056287","kg-yago3-10-keci-angular"
"nndescent","NNDescent(n_neighbors=73, pruning_mult=1.84, pruning_prob=0.188, epsilon=0.312, leaf_size=43)","10","1","1","1","0.0902076341924297","111.143528278672","8.99737514555454","8.99737514555454","8.99737514555454","8.99737514555454","0","23.0192115306854","10","528684","4756.76819143643","kg-yago3-10-keci-angular"
