"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2536, n_probe=1, k_reorder=436)","10","0.157233317096931","0.232862477674947","0.897174866049683","inf","75488.9045792626","0.0132469795062207","0.0132469795062207","0.0132469795062207","0.0132469795062207","2632.65773664556","5.84763169288635","9.59132976132489","83560","1.10691763863473","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3059, n_probe=2, k_reorder=513)","10","0.220888131190128","0.335103101152785","0.989836012339665","inf","60403.4618695007","0.0165553428814746","0.0165553428814746","0.0165553428814746","0.0165553428814746","3233.38415327163","6.88201475143433","9.98230232180549","84140","1.39296651873664","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1838, n_probe=193, k_reorder=6)","10","0.869775937652216","0.998798506251015","1","0.0961656390842011","34586.4665548772","0.0289130439341534","0.0289130439341534","0.0289130439341534","0.0289130439341534","29871.484007144","4.43979692459106","10","82660","2.3899521470008","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3584, n_probe=146, k_reorder=56)","10","0.900535801266439","0.999115116090274","1","0.0961843640469876","25379.3791754754","0.039402068068739","0.039402068068739","0.039402068068739","0.039402068068739","16283.1929696379","8.01617956161499","10","86868","3.42277876063817","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3591, n_probe=158, k_reorder=66)","10","0.907590517941224","0.999212534502354","1","0.0961761072429883","22729.9545281539","0.0439948089479003","0.0439948089479003","0.0439948089479003","0.0439948089479003","17293.1386588732","8.13115406036377","10","88912","3.91166642633936","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3437, n_probe=199, k_reorder=256)","10","0.935038155544731","0.999748335768794","1","0.0961334509886833","10134.1340154073","0.0986764134722762","0.0986764134722762","0.0986764134722762","0.0986764134722762","21123.3498132814","7.68837523460388","10","84676","8.35552400148485","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2029, n_probe=186, k_reorder=306)","10","0.954351355739568","0.999845754180874","1","0.0961079215934939","8633.3037797714","0.115830509457737","0.115830509457737","0.115830509457737","0.115830509457737","26806.234128917","4.79705142974854","10","82996","9.61346920219198","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2032, n_probe=194, k_reorder=313)","10","0.957744763760351","0.999886345185907","1","0.0961037983376653","8039.9228510082","0.124379308545031","0.124379308545031","0.124379308545031","0.124379308545031","27849.4553498945","4.78937005996704","10","82924","10.3140293180303","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1770, n_probe=192, k_reorder=394)","10","0.963159603831791","0.99992693619094","1","0.0960988968414063","6825.14908092222","0.146516948007047","0.146516948007047","0.146516948007047","0.146516948007047","30600.3593115766","4.2876410484314","10","82768","12.1269145946357","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1879, n_probe=200, k_reorder=899)","10","0.963800941711317","0.999894463386914","1","0.0960954203458069","3778.32451880482","0.264667585724965","0.264667585724965","0.264667585724965","0.264667585724965","30278.4223088164","4.57284164428711","10","82692","21.8858913755131","kg-yago3-10-distmult-euclidean"
