"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"flann","FLANN(target_precision=0.409669)","10","0.13856145478162","0.225539860366943","0.993440493586621","0.100798359532769","20008.0150164432","0.0499799716635607","0.0499799716635607","0.0499799716635607","0.0499799716635607","0","157.1143887043","10","29864","1.49260183858603","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.409560)","10","0.160074687449261","0.262347783731125","0.996906965416464","0.100346146162127","19476.78946208","0.0513431659783237","0.0513431659783237","0.0513431659783237","0.0513431659783237","0","148.009899616241","10","23748","1.21929746410392","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.494530)","10","0.216406884234454","0.354724792985874","0.998701087838935","0.0996222586919487","18746.4755806192","0.053343359468272","0.053343359468272","0.053343359468272","0.053343359468272","0","196.573498725891","10","25272","1.34809339981362","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.578843)","10","0.268801753531417","0.456194187368079","0.999772690371814","0.0987872843444337","18061.3457160191","0.0553668614884373","0.0553668614884373","0.0553668614884373","0.0553668614884373","0","195.286529302597","10","22612","1.25195543873261","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.561382)","10","0.294252313687287","0.491824971586296","0.99985387238188","0.0986518550267663","17631.8827995646","0.0567154420423321","0.0567154420423321","0.0567154420423321","0.0567154420423321","0","207.162907838821","10","24780","1.40540861584061","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.609204)","10","0.303839909076149","0.515457054716675","0.999870108783894","0.0985286847590727","16825.0933479514","0.0594350349274464","0.0594350349274464","0.0594350349274464","0.0594350349274464","0","207.267656803131","10","30144","1.79160967351603","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.635809)","10","0.317316122747199","0.539624939113492","0.999935054391947","0.0984019351474116","15750.3802045304","0.0634905300103128","0.0634905300103128","0.0634905300103128","0.0634905300103128","0","214.937435865402","10","30616","1.94382609196911","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.615595)","10","0.345445689235265","0.576863127131028","0.999894463386914","0.0982349956897039","15508.9937811438","0.0644787141936831","0.0644787141936831","0.0644787141936831","0.0644787141936831","0","228.522480010986","10","22556","1.45438191015488","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.646900)","10","0.374054229582724","0.606973534664718","1","0.0980009577054078","13646.1916108241","0.0732805201550946","0.0732805201550946","0.0732805201550946","0.0732805201550946","0","273.057129144669","10","21212","1.55442636340931","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.725584)","10","0.429883097905504","0.702776424744277","0.999967527195973","0.0976880955247243","12161.2232140497","0.0822285728645511","0.0822285728645511","0.0822285728645511","0.0822285728645511","0","276.295497894287","10","26692","2.19484500285818","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.828768)","10","0.545932781295665","0.845867835687612","1","0.0971439882966687","9553.9211190986","0.1046690667863","0.1046690667863","0.1046690667863","0.1046690667863","0","375.166363716125","10","26432","2.76661275203137","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.828514)","10","0.565603182334795","0.870376684526709","1","0.0970207940229449","8726.14945918993","0.114598085929174","0.114598085929174","0.114598085929174","0.114598085929174","0","393.764011383057","10","22368","2.56332992055771","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.851621)","10","0.602467933106024","0.89995129079396","1","0.0969452342443202","8071.90467717995","0.123886493383907","0.123886493383907","0.123886493383907","0.123886493383907","0","448.101221561432","10","26488","3.2815055503423","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.852376)","10","0.619296963792823","0.919467446013963","1","0.09684752077904","7285.86885800793","0.137251990963705","0.137251990963705","0.137251990963705","0.137251990963705","0","386.715538740158","10","21124","2.89931103780197","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.879805)","10","0.648595551225848","0.938277317746387","1","0.0968271127081644","6276.81875218036","0.159316376084462","0.159316376084462","0.159316376084462","0.159316376084462","0","365.547091007233","10","23276","3.70824790693768","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.853425)","10","0.662680629972398","0.952256859879851","1","0.0967801957771347","4172.21409426973","0.239680899539962","0.239680899539962","0.239680899539962","0.239680899539962","0","386.175244808197","10","18928","4.53667994314971","kg-yago3-10-keci-euclidean"
"flann","FLANN(target_precision=0.945680)","10","1","1","1","0.0960531546207135","629.096433647047","1.5895813703537","1.5895813703537","1.5895813703537","1.5895813703537","0","255.735606193542","10","19036","30.2592718411119","kg-yago3-10-keci-euclidean"
