"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"nndescent","NNDescent(n_neighbors=10, pruning_mult=1.50, pruning_prob=1.000, epsilon=0.000, leaf_size=62)","10","0.0360935216755967","0.0788358499756454","0.999529144341614","0.101974393647602","16967.6258766126","0.0589357659919187","0.0589357659919187","0.0589357659919187","0.0589357659919187","0","3.68390250205994","10","249100","14.6808988960175","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=10, pruning_mult=1.50, pruning_prob=0.000, epsilon=0.000, leaf_size=64)","10","0.0429696379282351","0.0966958921902906","0.999910699788927","0.101607346092712","16757.4466206968","0.0596749632677529","0.0596749632677529","0.0596749632677529","0.0596749632677529","0","3.78966569900513","10","245440","14.6466228152481","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=52, pruning_mult=2.50, pruning_prob=1.000, epsilon=0.000, leaf_size=52)","10","0.10279266114629","0.21359798668615","0.999935054391947","0.100595733229575","14367.5219917315","0.0696014249115251","0.0696014249115251","0.0696014249115251","0.0696014249115251","0","16.5474245548248","10","489524","34.0715678237152","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=80, pruning_mult=1.50, pruning_prob=1.000, epsilon=0.000, leaf_size=64)","10","0.111040753369053","0.232131839584348","1","0.100460903597663","14014.9147575444","0.0713525587343611","0.0713525587343611","0.0713525587343611","0.0713525587343611","0","28.2584023475647","10","484256","34.5529037013456","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=35, pruning_mult=2.39, pruning_prob=0.243, epsilon=0.010, leaf_size=49)","10","0.198132813768469","0.413297613248904","1","0.099401475405541","12137.7925994958","0.0823873051558621","0.0823873051558621","0.0823873051558621","0.0823873051558621","0","8.9057047367096","10","395256","32.5640759437939","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=75, pruning_mult=1.50, pruning_prob=0.000, epsilon=0.000, leaf_size=38)","10","0.219857119662283","0.466772203279753","1","0.0992690219932493","12118.5666581196","0.0825180104584433","0.0825180104584433","0.0825180104584433","0.0825180104584433","0","30.5569639205933","10","491572","40.5635430218672","kg-yago3-10-pykeen-quate-euclidean"
"pynndescent","PyNNDescent(n_neighbors=60, pruning_mult=2.21, diversify_prob=0.288, epsilon=0.020, leaf_size=50)","10","0.238179899334308","0.487741516479948","1","0.0990543738665768","11620.3920405752","0.0860556174302474","0.0860556174302474","0.0860556174302474","0.0860556174302474","0","54.6769025325775","10","531608","45.7478541295139","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=55, pruning_mult=2.50, pruning_prob=0.000, epsilon=0.000, leaf_size=43)","10","0.268639389511284","0.545989608702712","1","0.0988735534893057","10931.4370305652","0.0914792835828848","0.0914792835828848","0.0914792835828848","0.0914792835828848","0","21.0859060287476","10","525632","48.0844374376663","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=63, pruning_mult=2.50, pruning_prob=0.000, epsilon=0.000, leaf_size=55)","10","0.292360772852736","0.585809384640364","1","0.0987103250005445","10661.2557109408","0.0937975783017464","0.0937975783017464","0.0937975783017464","0.0937975783017464","0","25.4807450771332","10","478024","44.8374950344209","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=51, pruning_mult=1.64, pruning_prob=0.089, epsilon=0.028, leaf_size=55)","10","0.326156843643449","0.655747686312713","1","0.0984692556693","8793.35204580605","0.113722271635197","0.113722271635197","0.113722271635197","0.113722271635197","0","16.8293709754944","10","433160","49.2599406624","kg-yago3-10-pykeen-quate-euclidean"
"nndescent","NNDescent(n_neighbors=69, pruning_mult=1.96, pruning_prob=0.780, epsilon=0.042, leaf_size=51)","10","0.32751258321156","0.649943172592953","1","0.0984626108869145","7240.4322657776","0.138113304274157","0.138113304274157","0.138113304274157","0.138113304274157","0","23.5854439735413","10","501836","69.3102264587106","kg-yago3-10-pykeen-quate-euclidean"
"pynndescent","PyNNDescent(n_neighbors=75, pruning_mult=1.50, diversify_prob=0.103, epsilon=0.041, leaf_size=57)","10","0.419849001461276","0.783308978730313","1","0.097948520127835","6944.06725385999","0.144007819471881","0.144007819471881","0.144007819471881","0.144007819471881","0","65.2099726200104","10","554772","79.8915073427061","kg-yago3-10-pykeen-quate-euclidean"
