"algorithms","NGT-panng","NGT-qg","bruteforce-blas","elasticsearch","faiss-ivf","faiss-ivfpqfs","flann","hnsw(faiss)","hnsw(vespa)","hnswlib","luceneknn","mrpt","n2","nndescent","opensearchknn","pg_embedding","pynndescent","qsgngt","scann","tinyknn","vald(NGT-anng)","voyager","weaviate","sum"
"NGT-panng","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","4"
"NGT-qg","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","6"
"bruteforce-blas","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2"
"elasticsearch","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"faiss-ivf","1","1","1","1","0","0","1","1","1","0","1","1","0","1","1","0","1","0","1","1","1","1","1","17"
"faiss-ivfpqfs","0","0","0","1","0","0","0","1","0","0","1","1","1","1","1","0","1","0","0","1","1","1","1","12"
"flann","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","4"
"hnsw(faiss)","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
"hnsw(vespa)","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","4"
"hnswlib","0","0","0","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","1","1","1","0","8"
"luceneknn","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3"
"mrpt","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","4"
"n2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","5"
"nndescent","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3"
"opensearchknn","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"pg_embedding","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pynndescent","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3"
"qsgngt","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","4"
"scann","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"tinyknn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"vald(NGT-anng)","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
"voyager","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","4"
"weaviate","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2"
