"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"faiss-ivf","FaissIVF(n_list=5327, n_probe=1)","10","0.14176814417925","0.201899659035558","0.81090274395194","inf","245690.112427247","0.0040701679608901","0.0040701679608901","0.0040701679608901","0.0040701679608901","5378.94422795908","11.2668550014496","9.12031173891866","77960","0.317310286644463","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=2691, n_probe=3)","10","0.276814417924988","0.426879363533041","0.998408832602695","inf","240498.99300833","0.00415802151110256","0.00415802151110256","0.00415802151110256","0.00415802151110256","2985.54408183147","5.77976584434509","9.998782269849","75972","0.315893214560648","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=3008, n_probe=6)","10","0.36379282351031","0.573161227471992","1","0.0980573481689637","178285.166454441","0.00560899161428097","0.00560899161428097","0.00560899161428097","0.00560899161428097","3563.65903555772","6.42480087280273","10","77008","0.431937224680318","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=5011, n_probe=17)","10","0.506194187368079","0.787197597012502","1","0.0971966619244031","101758.70140727","0.00982716937869554","0.00982716937869554","0.00982716937869554","0.00982716937869554","6073.76197434648","10.5500943660736","10","79048","0.776818089331008","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=8191, n_probe=33)","10","0.600949829517779","0.896777074200357","1","0.0968290749184903","64493.8423624682","0.0155053567141294","0.0155053567141294","0.0155053567141294","0.0155053567141294","9665.82399740218","16.9968931674957","10","78520","1.21748057060552","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=2862, n_probe=28)","10","0.629874979704497","0.915814255560968","1","0.0967699843369725","50142.0704302654","0.0199433325178688","0.0199433325178688","0.0199433325178688","0.0199433325178688","5716.22040915733","6.17942190170288","10","76224","1.52016060258237","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1838, n_probe=193, k_reorder=6)","10","0.869775937652216","0.998798506251015","1","0.0961656390842011","34586.4665548772","0.0289130439341534","0.0289130439341534","0.0289130439341534","0.0289130439341534","29871.484007144","4.43979692459106","10","82660","2.3899521470008","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3584, n_probe=146, k_reorder=56)","10","0.900535801266439","0.999115116090274","1","0.0961843640469876","25379.3791754754","0.039402068068739","0.039402068068739","0.039402068068739","0.039402068068739","16283.1929696379","8.01617956161499","10","86868","3.42277876063817","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3591, n_probe=158, k_reorder=66)","10","0.907590517941224","0.999212534502354","1","0.0961761072429883","22729.9545281539","0.0439948089479003","0.0439948089479003","0.0439948089479003","0.0439948089479003","17293.1386588732","8.13115406036377","10","88912","3.91166642633936","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=5569, n_probe=192)","10","0.909814905017048","0.999447962331547","1","0.096167092377001","12736.9214190477","0.078511904575862","0.078511904575862","0.078511904575862","0.078511904575862","17397.9418736808","11.6512267589569","10","77656","6.09692071145762","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=5730, n_probe=200)","10","0.913565513882124","0.999561617145641","1","0.0961620134946909","12522.5560855019","0.0798558976384811","0.0798558976384811","0.0798558976384811","0.0798558976384811","17764.1794934243","12.0372998714447","10","77928","6.22301065915942","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=3490, n_probe=173)","10","0.921748660496834","0.999569735346647","1","0.0961528610729075","10520.7501633619","0.0950502580963075","0.0950502580963075","0.0950502580963075","0.0950502580963075","18809.8910537425","7.35385918617249","10","76232","7.24587114191483","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=3490, n_probe=174)","10","0.922381880175353","0.999594089949667","1","0.0961516694639773","10266.7987217739","0.0974013455561362","0.0974013455561362","0.0974013455561362","0.0974013455561362","18897.2655463549","7.50951814651489","10","76464","7.44769641171934","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3437, n_probe=199, k_reorder=256)","10","0.935038155544731","0.999748335768794","1","0.0961334509886833","10134.1340154073","0.0986764134722762","0.0986764134722762","0.0986764134722762","0.0986764134722762","21123.3498132814","7.68837523460388","10","84676","8.35552400148485","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2029, n_probe=186, k_reorder=306)","10","0.954351355739568","0.999845754180874","1","0.0961079215934939","8633.3037797714","0.115830509457737","0.115830509457737","0.115830509457737","0.115830509457737","26806.234128917","4.79705142974854","10","82996","9.61346920219198","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=2032, n_probe=194, k_reorder=313)","10","0.957744763760351","0.999886345185907","1","0.0961037983376653","8039.9228510082","0.124379308545031","0.124379308545031","0.124379308545031","0.124379308545031","27849.4553498945","4.78937005996704","10","82924","10.3140293180303","kg-yago3-10-distmult-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1770, n_probe=192, k_reorder=394)","10","0.963159603831791","0.99992693619094","1","0.0960988968414063","6825.14908092222","0.146516948007047","0.146516948007047","0.146516948007047","0.146516948007047","30600.3593115766","4.2876410484314","10","82768","12.1269145946357","kg-yago3-10-distmult-euclidean"
"n2","N2 (M96_efCon500)","10","0.964791362234129","0.997077447637603","1","0.0951191034910858","4223.93187480507","0.236746243899688","0.236746243899688","0.236746243899688","0.236746243899688","0","630.910861968994","10","466048","110.335112831693","kg-yago3-10-distmult-euclidean"
"n2","N2 (M96_efCon500)","10","0.968671862315311","0.997637603507063","1","0.0949620022697362","3411.17016719287","0.293154531391338","0.293154531391338","0.293154531391338","0.293154531391338","0","640.465039968491","10","466196","136.667471029053","kg-yago3-10-distmult-euclidean"
"n2","N2 (M96_efCon500)","10","0.970198084104563","0.997970449748336","1","0.0948495820551497","2829.18331573001","0.353458890458569","0.353458890458569","0.353458890458569","0.353458890458569","0","636.75531578064","10","466044","164.727395856195","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=127, n_probe=71)","10","0.998644260431888","1","1","0.0960500357818667","1654.69752766021","0.60434004990384","0.60434004990384","0.60434004990384","0.60434004990384","99445.532553986","0.153906345367432","10","78716","47.5712320132047","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=117, n_probe=71)","10","0.999983763597987","1","1","0.0960473381848516","1361.71250173529","0.734369386918843","0.734369386918843","0.734369386918843","0.734369386918843","120929.140120149","0.145280838012695","10","75284","55.2862663036891","kg-yago3-10-distmult-euclidean"
"faiss-ivf","FaissIVF(n_list=33, n_probe=122)","10","1","1","1","0.096046996367937","1286.19758402009","0.777485547587276","0.777485547587276","0.777485547587276","0.777485547587276","123215","0.0568828582763672","10","92204","71.6872750699865","kg-yago3-10-distmult-euclidean"
