"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"faiss-ivf","FaissIVF(n_list=2996, n_probe=3)","10","0.273786328949505","0.421521350868648","0.998400714401689","inf","240164.725959258","0.00416380862588994","0.00416380862588994","0.00416380862588994","0.00416380862588994","3270.63533041078","6.44229793548584","9.99715862964767","79056","0.329174068690717","kg-yago3-10-keci-euclidean"
"faiss-ivf","FaissIVF(n_list=2657, n_probe=17)","10","0.546289982139958","0.834542945283325","1","0.0970753504783251","78891.6578056344","0.0126756112877047","0.0126756112877047","0.0126756112877047","0.0126756112877047","4483.91873680792","5.63382506370544","10","75952","0.96273803989673","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=923, n_probe=52, k_reorder=5)","10","0.769849001461276","0.987562916057802","1","0.0963816505275257","78858.1826551659","0.0126809918583604","0.0126809918583604","0.0126809918583604","0.0126809918583604","13795.7139145965","2.51841354370117","10","80164","1.01655905957844","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1770, n_probe=147, k_reorder=25)","10","0.933455106348433","0.999618444552687","1","0.096142741422893","31560.6630780349","0.0316850128001533","0.0316850128001533","0.0316850128001533","0.0316850128001533","23957.056177951","4.28000259399414","10","82724","2.62111096320954","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=3314, n_probe=196, k_reorder=263)","10","0.936125994479623","0.999797044974833","1","0.0961387120389039","10120.3296678572","0.098811011412181","0.098811011412181","0.098811011412181","0.098811011412181","21465.669102127","7.4060275554657","10","84528","8.35229708657281","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=1303, n_probe=171, k_reorder=287)","10","0.967088813119013","0.999967527195973","1","0.0960992240112019","8594.17325666935","0.116357907245401","0.116357907245401","0.116357907245401","0.116357907245401","33509.7956648807","3.3419783115387","10","82136","9.55717292949149","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=643, n_probe=119, k_reorder=316)","10","0.97251177139146","0.999959408994967","1","0.0960934454371651","8109.55580163768","0.12331131438259","0.12331131438259","0.12331131438259","0.12331131438259","40610.3320344212","1.94728207588196","10","75876","9.35636943082348","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=657, n_probe=126, k_reorder=322)","10","0.976043188829356","0.999959408994967","1","0.0960881730696075","7735.3241445457","0.129277061205357","0.129277061205357","0.129277061205357","0.129277061205357","42127.3352817016","1.87121295928955","10","76852","9.9352009772195","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=806, n_probe=194, k_reorder=600)","10","0.988488390972561","0.999991881798993","1","0.0960690480480547","4767.71610952151","0.209744030144066","0.209744030144066","0.209744030144066","0.209744030144066","52959.5759863614","2.25060081481934","10","78144","16.3902376326351","kg-yago3-10-keci-euclidean"
"faiss-ivfpqfs","FaissIVFPQfs(n_list=677, n_probe=178, k_reorder=998)","10","0.990550414028251","0.999983763597987","1","0.0960681280067156","3063.33321467013","0.326441804645583","0.326441804645583","0.326441804645583","0.326441804645583","56199.9526708881","1.99334239959717","10","76596","25.0041358978468","kg-yago3-10-keci-euclidean"
"faiss-ivf","FaissIVF(n_list=515, n_probe=165)","10","0.993667803214808","1","1","0.0960625926547922","2668.77980544365","0.374703085981309","0.374703085981309","0.374703085981309","0.374703085981309","66849.9892027927","1.27285122871399","10","77016","28.8581320358114","kg-yago3-10-keci-euclidean"
"faiss-ivf","FaissIVF(n_list=32, n_probe=144)","10","1","1","1","0.0960531546207135","1359.97002463464","0.735310313757509","0.735310313757509","0.735310313757509","0.735310313757509","123214","0.0519142150878906","10","105488","77.5664155012089","kg-yago3-10-keci-euclidean"
